sentence,target_word,substitutions_votes
"""Jeanne Demessieux had a prodigious memory : she had memorized more than 2,500 works , including the complete organ works of Johann Sebastian Bach , CÌ©sar Franck , Franz Liszt , Felix Mendelssohn and Marcel DuprÌ© .""",prodigious,huge:5 great:18 amazing:2 stunning:1 large:2 remarkable:2 big:4 impressive:2 good:1 much better than normal:1 fantastic:3 very large:1 excellent:2 vast:3 very good:1 remarkable :1 colossal:1
"""At the end of each season , a series of playoff games are contested among the top six teams in the NFC , consisting of the four division champions and the two other teams with the best win-loss records .""",contested,fought:4 played:35 argued:2 running:1 disputed:1 fought :1 debated:3 engaged in:1 matched:1
Veritas and Undina would have been the largest fragments of that collision .,fragments,pieces:32 peices:2 rubble:1 parts:12 piece:1 pieces :1 remnants:1
After the Partitions of Poland in 1794 the area was annexed by Prussia .,annexed,overtaken:1 captured:2 taken:10 added:12 given:1 claimed:3 acquired:2 united:3 seperated:1 separated:1 cutoff:1 taken over:6 cut off:1 seized:3 conquered:1 adjoined:1 made permanent:1
"""The models initially had difficulty predicting the track of the depression and the forecasts from the National Hurricane Center reflected this , indicating that the depression would move towards Texas .""",reflected,showed:39 mirrored:3 repeated:1 also showed:2 noted:1 mirrored :1 echoed:1 demonstrated:1 displayed:1
"""A British nobleman , Lord Stanhope , took an interest in Hauser and gained custody of him late in 1831 .""",gained,received:1 got:28 earned:2 obtained:2 took:5 won:3 had:2 granted:1 received :1 was given:1 aquired:1 acquired:1 gave:1 increased:1
"""Simon Phillip Cowell is an English music executive , television producer and entrepreneur .""",entrepreneur,business owner:8 business-owner:1 businessman:20 promoter:1 business man:3 businessperson:2 maker:1 businessmen:1 businesman:1 executive:1 buiness owner:1 business organizer:1 founder:1 salesman:1 employer:1 buisnessman:1 businessman.:1 tycoon:1 business starter:1 business creator:1 manager:1
The remnants of the depression persisted until 2 am EDT at which time it was absorbed by a warm front .,absorbed,swallowed:2 racing:1 taken-over:1 evaporated:1 stopped:1 taken up:1 removed:2 incorporated:1  immersed:1 overtaken:2 conjoined:1 consumed:8 destroyed:1 gotten rid of:1 taken:2 lost:2 immersed:1 sucked up:3 ended:2 absorbed:1 replaced:1 eaten:1 sucked in:1 overrun:1 soaked in:1 taken over:1 taken in:3 erased:1 enveloped :1 swallowed up:1 overcome:1 replacex:1 made:1
"""A good measure of notability is whether someone has been featured in multiple , independent , reliable sources .""",multiple,many:29 different:5 several:11 lots of:1 a lot of:1 numerous:1 some:1 trotting:1
"""It originally aired on the Fox network in the United States on October 10 , 1991 .""",aired,ran:1 played:12 was shown:8 was seen:1 shown:4 showed:16 televised:1 premiered:1 was shown :1 was televised:1 appeared:2 opened:1 broadcasted :1
Religious law is explicitly based on religious precepts .,precepts,principles:2 ideas:10 code:1 rules:10 belief:1 laws:5 doctrine:1 beliefs:7 order:1 examples:1 thoughts:1 orders:1 teachings:1 tenets:1 actions:1 thought:1 concepts:1 commandment:1 directions:1 standards:1 guidelines:1
"""The principal greenhouse , in an art nouveau style with a modern metallic structure , resembles the mid-19th century Crystal Palace in London .""",resembles,is similar to:1 looks like:35 looks-like:1 mimics:1 represents:1 matches:2 shows:1 mirrors:1 echos:1 look like:1 favors:1 appears like:1 match:1 reminds one of:1 simulates:1
"""Metlink , formerly The Met , is the marketing body and umbrella brand for public train , tram and bus transport operators in Greater Melbourne , Victoria , Australia .""",brand,maker:1 body:1 company:13 tradename:1 type:6 mark:1 name:7 branch:1 trademark:1 logo:2 label:4 sign:1 symbol:4 term:1 character:1 product:1 entity:1 manufacturer:1 status:1 kind:1
"""On April 9 , 1919 , Miss Marcella Sherwood , who supervised the Mission Day School for Girls was bicycling round the city to close her schools when she was assaulted by a mob in a narrow street , the Kucha Kurrichhan , was beaten and left wounded .""",assaulted,attacked:41 beaten:2 hurt:3 fought:1 beat:1 beat up:1 battered :1
"""Schoenberg refused , saying `` I would only make you a bad Schoenberg , and you 're such a good Gershwin already . ''""",refused,denied:7 said no:15 denies:1 rejected:3 declined:11 didn't:2 negated:1 wouldn't:1 reject:1 would not:1 declined :1 disagreed:1 did not:2 turned his back:1 replied:1 chose not to:1
"""However media outlets soon found ways around the ban , initially by the use of subtitles , but later and more commonly by the use of an actor reading his words over the images of him speaking .""",initially,at first:7 first:30 originally:5 usually:1 firstly:4 starting:1 first off:1 always:1
"""However , the new king , Louis XVIII , knew that ideas of nationalism and democracy still lingered in his country ; hence the establishment and signing of the Charte constitutionnelle franÌ¤aise , the French Constitution otherwise known as La Charte .""",hence,thus:11 this led to:1 so :1 then:1 therefore:9 causing:2 so:13 thus :1 which lead to:1 that is the reason for:1 since:1 explaining:1 leading to:1 bringing about:1 forward:1 due to:1 from now on:1 which led to:1 therefore :1
In 1873 mine employers attempted to introduce Saturday afternoon and Sunday shifts .,attempted,tried:48 tryed:1 sought:1
"""He then settled in the Avon Valley , one of the most rugged and inaccessible places in the Darling Range .""",inaccessible,difficult:3 impassable:1 out of reach:2 inapproachable:1 hidden:1 roadless:1 unreachable:8 off-limits:1 dangerous:1 hard to reach:7 decrepit:1 hard-to-reach:1 remote:6 isolated:1 out-of-the-way:2 unapproachable:2 unreachable :1 not accessible:1 distant:2 hard to travel:1 unavailable:2 out of the way:1 limited:1 hard to find:1 unattainable:1
"""The central planets are firmly under Alliance control , but the outlying planets and moons resemble the 19th century American West , with little governmental authority .""",outlying,outer:21 surrounding:2 far:2 distant:10 remote:2 farthest:1 more distant:2 further away:1 backwoods:1 far out:1 far off:1 other:1 far away:1 further:1 outer :1 furthest:1 farther:1
"""In 1639 , Williams established a Baptist church in Providence , Rhode Island , and Clarke began a Baptist church in Newport , Rhode Island .""",established,completed:1 started:21 founded:6 created:8 made:7 set up:1 built:2 began:3 owns:1
"""While each edition of Windows 2000 was targeted to a different market , they share a core set of features , including many system utilities such as the Microsoft Management Console and standard system administration applications .""",core,basic:17 main:9 base:7 center:2 common:4 similair:1 kernal:1 central:3 same:2 similar:1 standard:1 important:1 fundamental:1
"""The first conflict between the British and the Marathas was the First Anglo-Maratha War which began in 1774 and resulted in the 1782 treaty of Salbai , by which the island of Salsette , adjacent to Bombay island , was ceded to the British , while Bharuch was ceded to the Maratha ruler Scindia .""",adjacent,next to:12 next:26 connected:1 across:1 close:2 bordering:1 near:1 right next:2 next :3 next door:1
OpenOffice.org Calc is the spreadsheet component of the OpenOffice.org software package .,component,part:38 piece:4 part :1 segment:1 software:1 element:2 equal:1 tool:1 section:1
"""The Countess tells him it is only Susanna , trying on her wedding dress .""",tells,told:8 says to:15 tells:2 informs:9 says to :1 bids:1 warns:1 lets him know:1 explains:2 say to:1 says:2 said to:2 advises:2 said to him:1 advices:1 states to:1
"""Early representations of the balalaika show it with anywhere from two to six strings , which resembles certain Central Asian instruments .""",representations,depictions:2 drawings:4 models:8 examples:5 images:6 thoughts:1 pictures:6 versions:1 likenesses:1 types:3 portayals:1 records:1 views:1 descriptions:1 signs:1 displays:1 showing:1 showings:1 ideas:1 remakes:1 depictions :1 leaders:1 reports:1
Additional praise was given to its scope and future potential based on user-created content ; minor criticism was reserved for specific elements of the gameplay mechanics and level creation facilities .,elements,parts:40 items:1 details:2 features:1 aspects:2 types:3 portions:1
"""Loamhedge is a fantasy novel by Brian Jacques , published in 2003 .""",published,printed:14 written:7 sold:1 made:3 released:15 made available:2 printed :1 issued:4 created:1 released :1 put out:1
"""The Eastern Orthodox Church accepts Psalm 151 as canonical . Roman Catholics , Protestants , and most Jews consider it apocryphal .""",consider,deem:2 think:28 call:3 believe :1 find:5 believe:4 assume:1 feel:1 view:1 think of it as :1 think of:1 think of it as:1 figure:1
He aided the Doukhobors in migrating to Canada .,aided,helped:50
"""It is a permissive license , meaning that it permits reuse within proprietary software on the condition that the license is distributed with that software . The license is also GPL-compatible , meaning that the GPL permits combination and redistribution with software that uses the MIT License .""",permits,allows:46 grants:1 lets:1 allows.:1 admits:1
"""The battalion is usually part of a regiment , group or a brigade , depending on the organizational model used by that service .""",usually,normally:14 mostly:7 often:11 commonly:3 typically:3 often :1 sometimes:2 generally:4 most often:1 current:1 most of the time:1 for the most part:1 almost always:1
"""Intense feelings of resentment trigger the initial retaliation , which causes the other party to feel equally aggrieved and vengeful .""",retaliation,fight:2 reprisal:1 fight back:3 reaction:3 revenge:18 revengeance:1 retribution:1 response:3 payback:3 vengence:1 attack:4 repayment:1 counterattack:1 counterattack :1 vengeance:2 return:2 anger:1 punishment:1 vengance:1
Gravitational energy is the energy associated with the gravitational field .,associated,affiliated:1 linked:14 similar:1 connected:8 allocated:1 related:8 involving:1 corelated:1 that goes :1 belonging to:1 found:2 linked up:1 used:1 partnered:2 that comes:1 mixed:1 placed:1 corrilated:1 that goes along:2 that goes:1
"""The dead body of a human is referred to as a cadaver , or corpse .""",human,person:46 man:3 man or woman:1
Marshal Manuel Deodoro da Fonseca became the first president of the Republic of Brazil after heading a military coup that deposed Emperor Pedro II .,coup,rebellion:3 takeover:9 overthrow:7 group:1 revolution:3 conflict:1 plot:4 revolt:2 camp:1 win:1 fight:1 take over:2 upset:2 uprising:2 overturning:1 action:4 attack:1 operation:1 mission:1 team:1 take-over:1 over throw:1
"""Slipknot is a heavy metal band formed by vocalist and percussionist Anders Colsefni , guitarists Donnie Steele and Josh `` Gnar '' Brainard , bassist Paul Gray , drummer Joey Jordison and percussionist Shawn Crahan , in Des Moines , Iowa .""",formed,created:15 made:18 started:11 shaped:1 put together:3 put together :1 begun:1
"""The most recent goaltender to have scored a goal by deliberately shooting the puck into his opponents ' net was Evgeni Nabokov , in 2002 .""",deliberately,purposefully:4 willfully:1 purposely:24 on purpose:2 purpose;y:1 intentionally:4 purposefully :1 knowingly:2 freely:2 purposly:1 purposely :3 knowingly :1 directly:1 carefully:1 instinctively:1 purpousfully:1
"""Following the withdrawal of the more powerful Class 74 electro-diesels in 1977 , the Class 73 is now unique on the British railway network .""",network,system:31 lines:3 connections:1 combination:1 line:1 collection:1 grid:4 tracks:2 connection:2 chain:1 systemm:1 group:1 networks:1
"""Upon receiving its classification , the depression consisted of a partially exposed low-level center with deep convection occupying the northeastern semicircle .""",occupying,taking:1 covering:7 filling:4 living:1 settling:1 inhabiting:3 on:2 in:12 forming:1 sitting in:1 holding:2 taking up:6 inside:4 engulfing:1 staying:1 over:1 filling up:1 owning:1
"""These notable synagogues include ; the Great Synagogue of Rome , the New Synagogue , the LeopoldstÌ_dter Tempel , the Grand Choral Synagogue , the Great Synagogue , the Moscow Choral Synagogue , the Great Synagogue of Florence , the Great Synagogue , Plzen , the Great Synagogue , the Ko ice Orthodox Synagogue , the Novi Sad Synagogue , the Szeged Synagogue , the Sofia Synagogue and the Great Synagogue of Oran .""",notable,main:1 evident:1 popular:3 important:19 major:1 famous:16 famed:1 best:1 prominet:1 special:1 known:1 great:2 noticeable:1 other:1
"""Most of the detainees were captured Japanese and Italian military personnel , On August 5 , 1944 at least 545 Japanese POWs attempted a mass breakout from the camp , in perhaps the largest prison escape in world history .""",breakout,escape:45 leave:1 fight:1 exit:1 outbreak:1 runaway:1
"""Vinaigrette is a mixture of salad oil and vinegar , often flavored with herbs , spices , salt , pepper , sugar , and other ingredients .""",ingredients,parts:9 contents:1 toppings:1 foods:4 substances:2 items:6 spices:3 things:6 pieces:5 food stuffs:1 stuff:4 elements:3 flavors:1 fixings:1 food items:1 herbs:1 items.:1
He supported the building of churches by distributing literature and providing ministers .,distributing,giving out:6 sharing:5 giving:13 alloting:1 sending:2 passing out:7 handing out:8 spreading:2 releasing:1 sending out:1 organizing:1 giving :1 disbursing:1 giving away:1
"""As of the early 21st century , Christianity has between 1.5 billion and 2.2 billion adherents .""",adherents,followers:36 members:4 believers:7 supporters:1 members :1 fans:1
"""Many schools teach children to make sock puppets and then have the children put on shows or plays for the whole school with them , sometimes with all the sock puppets singing .""",singing,harmonizing:2 crooning:5 chanting:7 harmonising:1 talking:8 performing:4 voicing:1 yelling:1 used:1 in a choir:1 mimicking a song :1 making music:2 voicing a song together:1 performing :1 vocalizing :1 caroling:3 making melody:1 humming:2 hum:1 making music with their mouthes:1 making noise:1 in song:1 songs:1 entertaining with songs:1 vocalizing:1
"""The word cereal derives from Ceres , the name of the Roman goddess of harvest and agriculture .""",derives,comes from:3 comes:44 came:1 comes from :1 originates:1
"""Miramax Films was last operated by Daniel Battsek who reported to Rich Ross , chairman of Walt Disney Studios Motion Pictures .""",operated,run:27 worked:3 directed:1 ran:7 used:3 employed:1 handled:1 managed:4 controlled:2 performed:1
He is portrayed by Mark Hamill .,portrayed,played:33 represented:5 acted:3 acted by:1 depicted:1 represented :2 done:1 played :1 shown:2 imitated:1
"""Super Smash Bros. was developed by HAL Laboratory , a Nintendo second-party developer , during .""",developed,created:18 made:26 started:2 built:1 written:2 established:1
The northern and western edges of the Cotswolds are marked by steep escarpments down to the Severn valley and the Warwickshire Avon .,escarpments,slopes:8 ledges:2 inclines:1 declines:1 cliff like ridge:1 hills:6 cliffs:21 embankments:1 rocks:2 ridges:2 bluffs :1 slope:2 bluffs:1 steps:1
"""They renamed the place Alcante or Alcanatif which means Port of Salt , due to the old salt industry of Phoenicians and Romans .""",renamed,gave a new name to:2 changed the name of:9 called:19 changed:5 named:7 recalled:1 retitled:1 gave another name to:1 reintroduced:1 remade the name of :1 now call:1 dubbed:1 reassigned:1
"""It was founded in 1964 in Hamilton , Ontario by Canadian hockey player Tim Horton and Jim Charade , after an initial venture in hamburger restaurants .""",founded,explored:1 made:4 started:22 created:8 set:1 formed:5 begun:2 set up:4 started':1 opened:1 formed :1
The annual mean temperature is 25 C ; regional mean temperatures range from 18 C in the heart of the Cordillera Central to as high as 27 C in arid regions .,annual,yearly:48 usual:1 year's:1
Epistemology or theory of knowledge is the branch of philosophy concerned with the nature and scope of knowledge .,scope,extent:4 amount:3 range:16 area:10 width:2 level:1 span:2 depth:2 types:1 area covered:1 purpose:1 field:1 breadth:1 view:3 capacity:1 variety:1
The process is termed lichenometry .,termed,called:35 named:14 coined:1
The name `` Sea of CortÌ©s '' is the one preferred by most local residents .,residents,citizens:12 people:30 locals:1 population:2 habitants:1 folks:1 people who live there:1 members:1 villagers:1
"""The 1997 Atlantic hurricane season officially began on June 1 , 1997 , and lasted until November 30 , 1997 .""",lasted,continued:16 didn't end:3 went:13 stayed:8 wenty:1 kept going:1 remained:1 went on:3 ended:1 was not over:1 didn't stop:1 wasn't over:1
This was the first time in Survivor history that the two initial teams were not preselected by the producers .,preselected,assigned:1 chosen:18 selected before:2 prechosen:3 chosen in advance:1 chosen first:1 previously chosen:1 picked:8 selected:2 chosen ahead of time:1 determined:1 screened:1 made:1 already selected:2 already chosen:1 chosen beforehand:1 already picked:1 first chosen:1 chosen before:1  select in advance:1 predetermined:1
The geological community generally accepts this hypothesis because it best explains sedimentary deposits generally regarded as of glacial origin at tropical paleolatitudes and other enigmatic features in the geological record .,hypothesis,idea:16 theory:20 guess:7 reasoning:2 belief:1 proposition:1 prediction:1 theorem:1 guess :1
"""The Hells Angels , at the peak of their ` outlaw ' reputation , corralled lost children .""",corralled,bothered:1 found:5 collected:5 enclose:1 gathered:20 caught:2 captured:2 rounded up:1 cornered:1 took:1 caged:1 stole:1 brought together:1 sought:1 confined:1 locked up:2 contained:1 detained:1 enclosed:1 gathered up:1
The roof of the West Stand is corrugated iron this also houses the main television gantry which is accessed from the upper tier seating area by a temporary ladder .,tier,level:34 row:2 area:2 floor:1 sectioned:1 section:3 part of:1 rows of:1 level :1 series:1 layer:1 part:1 deck:1
"""It gradually decayed into a surface low pressure trough , and developed into two disturbances ; one was centered 290 miles south-southeast of Cape Cod and another was located 200 miles south of Cape Hatteras , North Carolina .""",gradually,slowly:38 slightly:1 regularly:1 increasingly:2 eventually:2 gently:1 slowly :2 over time:1 little by little:1 steadily:1
"""Techno is a form of electronic dance music that emerged in Detroit , Michigan , US during the mid to late 1980s .""",emerged,started:23 appeared:8 began:7 originated:3 came from:2 rose:1 came frome:1 started :1 became known:1 became noticable:1 was invented:1 came out:1
Dhamtour has an average elevation of 1110 metres .,elevation,height:45 altitude:3 height :1 rise:1
"""While in Cambrai he collaborated with Nicolas Grenon on a complete revision of the liturgical musical collection of the cathedral , which included writing an extensive collection of polyphonic music for services .""",included,involved:12 consisted of:3 are:1 meant:4 was made up of:1 covered:2 took:1 had him:1 was in part:1 covered :1 contain:1 also had:1 contained:6 has:3 also meant:2 took into account:1 was:2 was part of:2 came with:1 comprised:1 had:1 have:1 used:1
"""It is also the only one of the former provinces of South Africa not to undergo border changes , excluding the incorporation of Bantustans .""",excluding,barring:4 ignoring:1 not including:6 leaving out:2 without:4 except:8 minus:3 removing:1 rejecting:1 apart from:1 except for:7 besides:5 prohibiting:1 not counting:1 but not:1 short of:1 saving:1 bans:1 excepting:1
"""Nevertheless , until the middle of the 20th century , agriculture dominated the canton .""",nevertheless,regardless:6 nonetheless:1 yet:5 still:16 however:9 anyway:3 anyhow:1 but:2 sill:1 even so:1 also:1 in any way:1 so:1 in any case:1 either way:1
The chain accounted for 22.6 % of all fast food industry revenues in Canada in 2005 .,accounted,made up :1 is responsible:1 added up:1 was responsible:9 madeup:1 reported:4 produced:1 counted:2 was the reason:2 made up:7 lasted:1 considered:1 included:1 estimated:1 recorded:1 helped:1 represented:1 counts:1 took credit:1 made:3 was the cause:1 stood:1 appraised:2 responsible:1 credited:1 sales were:1 comprised:1 made up for:1
"""Whatever the truth of the rumors , James required a royal match to preserve the Stuart line .""",preserve,protect:5 save:10 keep:23 continue:3 remain:1 maintain:5 keep up:1 maintain :1 hold:1
"""In 2005 and 2006 , the Bulgarian State Railways begin operating Desiro trains as part of a 67-million deal with Siemens AG for a total of 25 Diesel multiple units .""",operating,running:28 working:4 driving:3 using:10 making use of:1 managing:1 making:1 conducting:1 controlling:1
This category contains articles about albums released on Island Records .,contains,has:40 holds:4 includes:4 houses:1 features:1
Their heaviest defeats in the league were 10 - 1 against Fulham in 1963 and 9 - 0 against Manchester United in 1995 .,heaviest,worst:15 biggest:23 largest:8 hardest:2 most:1 strongest:1
"""Uniquely among mammals , these teeth are continuously replaced throughout life , with new teeth growing at the rear as older teeth fall out from farther forward in the mouth .""",continuously,always:18 constantly:17 frequently:1 repeatedly :1 regularly:3 forever:1 repeatedly:4 always being:2 always :1 continually:1 over and over:1
"""It is also known as a clothes iron , flat iron , or smoothing iron .""",smoothing,press:4 leveling:3 pressing:3 flattening:16 unroughing:1 an:1 rubbing:1 leveling :1 levelling:1 even:2 flatting:1 evening:3 surface:1 flatning:1 make flat:1 unwrinkling:1 straightening :1 clear:1 nonwrinkling:1 straightening:1 sleek:1 anti-wrinkle:1 regular:1 making things smooth:1 unwrkinkling:1
Some of the first inhabitants of Gili Trawangan were from Sulawesi who are fishermen and farmers .,inhabitants,residents:8 settlers:6 people:22 occupants:1 dwellers:2 citizens:3 natives:4 living people:1 people :2 peoples:1
"""Thousands of videos exist on YouTube of users showing the original video to their friends and taping their reactions , although some videos seem to be staged .""",taping,recording:38 filming:3 capturing:2 videoing:1 showing:3 recorded:1 taking video of:1 filming video:1
"""However , on 13 April 2008 , before the completion of the initial five years , it was announced that Bryce was to become the next Governor-General of Australia .""",initial,first:47 beginning:1 original:1 first :1
"""Kasem is best known by name as a music historian and disc jockey , most notably as host of the weekly American Top 40 radio program from 1970 to 1988 , and again from March 1998 until January 10 , 2004 , when Ryan Seacrest succeeded him .""",program,show:43 event:1 schedule:1 show :1 agenda:1 station:1 broadcast:1 segment:1
"""Liriodendron tulipifera , commonly known as the American tulip tree , tulip poplar or yellow poplar , is the Western Hemisphere representative of the two-species Liriodendron genus and the tallest eastern hardwood .""",commonly,usually:13 also:9 is:1 widely:3 generally:3 often:5 almost always:1 otherwise:1 normally:3 simply:1 mostly:4 frequently:1 mainly:1 most:1 typically:1 usually :1 regularly:1
"""Another allegation asserts that during the previous year , on Saint Bartholomew 's Day , Vlad had 30,000 of the merchants and officials of the Transylvanian city of Bra ov impaled for breaking his authority .""",asserts,implies:1 insists:2 states:8 says:21 claims:14 is:1 pushes:1 declares:1 affirms:1
"""The result is a region of braided streams , marshes , and lakes the size of Belgium ; the seasonal floods make the Delta extremely productive for both fishing and agriculture .""",extremely,very:45 highly:3 immensely:1 greatly:1
"""During one event , German Charley attempting to prevent the theft of a racehorse from the Coombing Park stables was shot to death by Mickey Bourke .""",prevent,stop:49 avoid:1
The cheetah hunts by vision rather than by scent .,vision,sight:40 seeing:3 what he sees:1 eye:1 their eyes:1 eyesight :3 eyesight:1
"""Spun yarns may contain a single type of fiber , or be a blend of various types . Combining synthetic fibers with natural fibers is very common .""",various,many:14 different:28 several:5 other:1 myriad:1 lots of:1
"""The character may be speaking his or her thoughts aloud , directly addressing another character , or speaking to the audience , especially the former .""",character,actor:12 figure:2 person:31 artist:1 guy:1 person in the story:1 role:1 personality:1
"""The Aar , a tributary of the Rhine , is the longest river that both rises and ends entirely within Switzerland .""",rises,starts:16 ups:1 begins:20 climbs:2 starts :2 gets higher:1 goes higher:1 ascends :1 grows:1 swells up:1 climb:1 climbs :1 soars:1 swells:1
"""The atmosphere was so intense that GÌ¦ring , in a telephone call that evening , stated : `` There is unbelievable jubilation in Austria .""",stated,said:48 sayed:1 daid:1
"""The intent is to display the likeness , personality , and even the mood of the person .""",intent,idea:9 purpose:17 reason:4 aim:1 goal:5 point:5 meaning:4 plan:2 attempt:1 desire:1 trotting:1
Kavirondo is the former name of the region surrounding Kavirondo Gulf as well as of two native peoples living there under the regime of British East Africa .,former,old:24 previous:9 earlier:5 last:4 other:1 first:1 before:1 prior:3 older:1 previous :1
"""They are a type of reporter gene used in laboratory microbiology , molecular biology , and genetic engineering to indicate the success of a transfection or other procedure meant to introduce foreign DNA into a cell .""",indicate,show:37 point out:2 determine:1 imply:2 mark:1 check:1 explain:1 measure:1 show :1 tell:1 identify:1 shows:1
Several other Hollywood films are also believed to have been inspired by Bollywood films .,inspired,encouraged:4 guided:1 started off:1 influenced:17 originiated:1 started:3 stirred:2 motivated:3 triggered:1 caused:1 moved:1 helped:1 originated:1 created:1 thought of:1 based on:1 affected:1 take influence from:1 brought on:1 made in like of:1 aroused :1 aroused:1 fueled:1 infuenced:1 begun:1 made:1
"""Winchester College was founded in 1382 by William of Wykeham , Bishop of Winchester and Chancellor to both Edward III and Richard II , and the first seventy poor scholars entered the school in 1394 .""",scholars,students:39 intellectuals :1 academics:1 educators:1 teachers:5 specialists:1 learned men:1 student:1
They consider the period of 1917 to 1991 to have been a period of occupation by the Soviet regime which was internationalist and anti-Christian .,regime,government:19 group:7 rule:10 command:1 leadership:3 system:1 administration:3 power:1 rulers:1 box:1 army:1 leaders:1 powers that be:1
Microsoft Windows includes an implementation of SSL and TLS as part of its Secure Channel package .,implementation,application:4 use:7 usage:4 instance:1 combination:1 program:1 version:5 approach:1 utilization:1 type:1 use of:1 start:2 addition:5 example:2 configuration:1 installation:1 added use:1 copy:1 inclusion:3 application :1 aspect:1 employment:1 introduction:1 similar:1 realization:1 execution:1
"""He proceeded to the Franco-Prussian War in 1870 , and , being taken prisoner at Vaucouleurs , he remained in French captivity for three months .""",proceeded,went:36 then went:1 continued:6 headed:1 went on:1 advanced:2 moved:1 began:1 marched:1
"""Pind Dadan Khan Tehsil is a subdivision of Jhelum District , Punjab , Pakistan .""",subdivision,part:26 area:1 section:5 smaller part:1 land:1 outlay:1 piece:1 group:1 portion:1 branch :1 tract:1 category:1 district:2 smaller area:1 branch:1 neighborhood:3 a part of:1  section:1
"""Although these reports did not contain any scores or rankings , the evaluation report for Paris was considered the most positive , now followed closely by London which had narrowed down most of the gap observed by the initial evaluation in 2004 regarding Paris .""",considered,thought to be:6 thought of:4 believed:3 viewed:1 said:1 seen:1 thought:18 seen as:1 rated:1 deemed:2 decided:1 judged:1 thought of as:4 regarded:1 always:1 maybe:1 treated as:1 treated:1 thought as:1
"""The island of Ireland lies only 30 k from the southwestern peninsula of Kintyre ; Norway is 305 k to the east and the Faroes , 270 k to the north .""",peninsula,point:9 landmass:2 land:11 part:3 outcrop:1 shores:1 area:3 border:1 cape:8 tip:3 jetty:1 peninsula:1 point of land:1 land mass:1 island:1 cape :1 land almost surrounded by water:1 offshoot:1
Men are supposed to come to the mosque wearing loose and clean clothes that do not reveal the shape of the body .,reveal,show:50
"""The Kingdom of the Franks under Charlemagne was particularly hard-hit by these raiders , who could sail down the Seine with near impunity .""",impunity,freedom:17 immunity:6 freedom from punishment:1 fearlessness:1 carelessness:1 permission:1 secrecy:1 certainty:1 safety:4 exception:2 punishment:1 untouchability:1 abandon:1 liberty:2 invicibility:1 exemption:1 trouble:1 invincibility:1 blameless:1 unchecked:1 loss:1 nonpunishment:1 without punishment:1 easily:1
"""One day , she was given a home in ÌÐstergÌ¦tland as a gift by some rich women after she had cured them successfully and treated them .""",successfully,well:17 correctly :1 winningly:2 with great achievement:1 greatly:1 completely:3 all the way:2 favorably:1 with success:1 the right way:1 correctly:2 totally:1 effectively:4 trivingly:1 good:1 strongly:1 as promised:1 completely :1 fully:1 was able to cure them:1 triumphantly:2 unfailingly:1 victoriously:1 notably:1 nicely:1
"""Gumbasia , a 3 minute 34 second short film produced in 1953 , was the first clay animation produced by Art Clokey , who went on to create the classic series Gumby and Davy and Goliath using the same technique .""",classic,finest:1 famous :1 old:12 great:4 well-known:3 well known:2 original:3 popular:3 unique:1 famous:6 memorable:1 a good old:1 vintage:2 time-honored:1 notable:1 older:1 definitive:1 iconic:1 old time:1 timeless:1 unforgettable:1 famous old:1 distinguished:1
"""Also , the sound of the regional language qawwali can be totally different from that of mainstream qawwali .""",mainstream,regular:5 normal:14 popular:3 common:10 standard:1 main:1 usual:1 majority:1 everyday:2 popular :1 new:1 primary:1 traditional:1 normal :1 contemporary:1 well known:1 general:1 accepted:1 major:1 common :1 local:1
Many people see Al Jazeera as a more trustworthy source of information than government and foreign channels .,trustworthy,reliable:16 helpful:1 honest:16 credible:3 dependable:3 open:1 likable:1 secure:1 believable:5 accurate:1 truthful:1 trusted:1
"""The Epping Ongar Railway operates on a preserved railway along the final section of the old Great Eastern Railway and London Underground Central Line branch line between Epping and Ongar , with an intermediate station at North Weald .""",final,last:43 end:4 ending:1 final:1 last :1
"""In the Immunity Challenge , Koror had an early lead , but Ulong made a slight comeback .""",slight,small:42 tiny:1 partial:1 quick:1 little:4 minor:1
"""It is also widely believed that the size and number of connections in the prefrontal cortex relates directly to sentience , as the prefrontal cortex in humans occupies a far larger percentage of the brain than any other animal . As the brain has tripled in size over 5 million years of human evolution , the prefrontal cortex has increased in size sixfold .""",relates,connects:17 leads:1 relects:1 is linked:1 infers:1 is connected:3 alludes:1 refers:2 has to do with:2 depicts:1 assimilates:1 corresponds:2 links:3 link:1 is involved:1 same as:1 correlates:3 reports:1 compares:1 describe:1 has relation:1 affects:1 goes:1 ties:1 contributes:1
"""During its boom times , Beechworth town boasted a range of industries including , a tannery , jewellers , boot makers , a brewery , blacksmiths , livestock sale yards .""",livestock,cattle:9 cows:1 farm animal:7 animal:24 animals:2 live animal:1 farm:1 farm animals:2 cow:1 cattle :1 barnyard animal:1
"""Traditionally , after a long period of consuming gimjang kimchi during the winter , fresh potherbs and vegetables were popular for making kimchi . These kinds of kimchi were not fermented or even stored for long periods of time but were consumed fresh .""",period,time:45 span:2 season:2 portion:1
Still visible throughout former East Berlin are the characteristic `` AmpelmÌ_nnchen '' on some pedestrian traffic lights .,characteristic,near:1 trait:2 normal:4 typical:9 common:3 distinct:3 distinctive:4 usual:4 unusual:1 well known:2 unique:4 famous:1 standard:1 notable:1 typical :1 noticeable:1 hallmark:1 symbolic:1 qualities:1 ever present:1 known:2 specific:1 looks:1
